1870_line,1880_line,score,confidence
1688,22721,495,3
1695,22737,480,3
1693,22735,470,3
1692,22734,460,3
17144,25766,455,3
17142,25765,450,3
12128,24430,445,3
12129,24431,445,3
12121,24426,445,3
7331,28283,440,3
17148,25769,440,3
6358,29495,440,3
6365,29500,440,3
1689,22722,440,3
1694,22736,440,3
6077,26783,435,3
6361,29498,435,3
18472,9475,430,3
18468,9470,430,3
17141,25764,430,3
6360,29497,430,3
6369,29504,430,3
18873,5529,425,3
7330,28282,420,3
17478,22724,420,1
17149,25770,420,2
6368,29503,420,3
6359,29496,420,3
7329,28280,415,3
12126,24428,415,3
6078,26784,415,3
6084,26792,415,3
3966,21165,415,3
3962,21162,415,3
1691,22733,415,3
2129,19776,410,3
3098,20612,410,3
3100,20614,410,3
5157,20960,410,3
7326,28277,410,3
7328,28279,410,3
18868,5524,410,3
12131,24435,410,3
17137,25763,410,3
18467,9469,410,3
3967,21166,410,3
9477,26116,405,3
17414,10712,405,3
18766,10837,405,2
2763,21297,405,3
5159,20961,405,3
5161,20966,405,3
4121,23484,100,1
16276,20673,100,0
10293,31262,100,0
12513,24928,100,1
17455,6419,100,1
5655,30946,100,1
21086,5367,100,0
11828,29905,100,0
10152,20538,100,1
159,23692,100,0
22374,30397,100,0
538,16327,100,2
1234,16756,100,0
5800,2929,100,0
1359,30042,100,1
2541,21326,100,1
5622,20531,100,0
9319,30209,100,0
3210,26381,100,0
20969,10888,100,0
3722,18860,100,0
5590,23099,100,0
5801,4585,100,0
5959,26526,100,2
6063,4833,100,0
8117,9359,100,0
10545,26817,100,1
10582,12791,100,1
21758,2566,100,0
10883,10054,100,0
10990,30391,100,0
12515,8164,100,0
13698,3445,100,2
17404,9502,100,2
18113,26781,100,0
20278,1981,100,0
21327,14087,100,0
13210,10595,100,0
1035,3713,100,0
1103,8326,100,0
18994,23321,100,0
5269,20834,100,0
19028,10421,100,0
6568,30626,100,0
5423,13804,100,0
5445,30862,100,0
20082,29881,75,0
21796,5336,75,0
7376,24926,75,0
2361,20421,75,0
22140,6446,75,0
14420,11759,75,0
16246,2352,75,3
16198,1689,75,0
2656,19759,75,0
8855,17581,75,3
4683,32191,75,0
2723,21683,75,0
2727,21681,75,0
17988,8420,75,0
2868,22392,75,0
4769,28063,75,0
16019,2346,75,0
9007,17188,75,0
17703,5495,75,1
3497,21625,75,0
8038,18029,75,0
20946,7154,75,0
8291,6162,75,0
509,29255,75,1
15341,24977,75,0
8413,11155,75,0
14499,24596,75,0
19980,10674,75,0
15440,10946,75,0
20604,17806,75,0
2233,24976,75,0
3859,26579,75,0
20593,1624,75,0
4389,27219,75,0
14018,26908,75,0
15912,12785,75,0
21227,10554,75,0
18498,15728,75,0
9,11211,75,0
4013,16005,75,0
4240,21584,75,0
22051,9947,75,0
2856,15679,75,0
2859,15681,75,0
8866,4634,75,0
1808,31786,75,0
11155,16137,75,0
4960,2238,75,0
4961,2239,75,0
15982,27166,75,0
22177,4091,75,1
22568,6699,75,0
22571,6703,75,0
22572,6701,75,0
22573,6702,75,0
8103,18025,75,0
15611,26191,75,0
17247,27378,75,0
13559,9425,75,0
141,22142,75,0
844,24279,75,0
2668,31045,75,1
4312,1318,75,0
5975,1849,75,0
16412,19138,75,0
10144,7089,75,0
19699,1892,75,0
19680,27882,280,3
19681,27883,280,3
7566,19059,280,3
22165,6422,280,1
20636,7346,280,2
466,29238,280,3
467,29239,280,2
1168,23255,280,3
6571,11541,280,3
20685,10633,280,3
8299,17641,280,3
6577,27320,280,3
6579,27321,280,3
6582,27324,280,3
18984,4125,280,3
19844,8779,280,3
20561,9917,280,3
20686,10634,280,3
16,22067,280,3
17861,5261,280,3
22000,7419,280,3
5891,18613,280,3
7941,18191,280,3
15848,27253,280,3
10818,31968,280,3
12495,28263,280,3
21981,27888,280,1
4449,31245,280,2
2105,31288,280,3
3836,13558,280,1
4447,31242,280,2
8034,18076,280,3
14906,4991,280,3
21665,10513,280,3
9343,28987,280,2
3991,21101,280,3
12708,919,280,3
5120,20783,280,3
5201,20361,280,2
10323,30578,280,3
22449,8467,280,3
1629,23138,280,3
3508,28203,280,0
8167,1028,280,0
19690,5347,280,0
12212,26082,280,0
7774,18401,280,3
21883,6919,305,3
6723,26287,305,3
12709,921,305,3
5200,20363,305,3
5118,20782,305,2
749,16777,305,3
422,29202,305,3
3533,23982,305,3
9924,28480,305,3
9926,28482,305,2
9929,28484,305,3
16725,28296,305,3
1463,22596,305,3
13843,1780,305,3
16671,11099,305,3
4484,30062,305,3
2623,21031,305,3
16563,1658,305,3
10399,29754,305,3
4106,20871,305,3
5728,19231,305,3
7954,18478,305,1
10787,32053,305,3
9165,28201,305,3
2208,20381,305,3
8383,17422,305,3
16510,1265,305,3
9230,29054,305,3
3914,21463,305,3
3486,24195,305,3
5795,28099,305,3
3125,20958,305,0
8693,18914,305,3
420,29201,305,3
20867,7456,305,3
3530,23980,305,3
4726,29341,305,3
2796,15534,305,1
7131,15526,305,0
893,29699,305,3
3079,27575,305,0
14355,31749,300,3
12093,30510,300,3
17116,25941,300,3
7287,27046,300,3
3387,24075,300,3
8792,17341,300,3
10304,30961,300,1
17105,25910,300,3
13416,1226,300,3
11471,10033,300,3
10935,18903,300,3
2708,19751,300,1
17219,25532,300,3
11533,31854,300,3
12699,11764,300,3
17424,25476,300,3
6876,29535,300,3
8588,19397,300,3
15925,1927,300,3
20131,30882,300,3
12052,24455,300,2
8298,17640,300,3
12018,30547,300,3
17451,28198,300,1
4350,28756,300,3
19303,7914,300,2
4913,21442,300,3
7567,19060,300,3
15689,26691,300,3
19357,5162,300,3
18265,30353,300,3
21422,7437,300,3
1590,22758,300,3
2585,22400,300,3
2590,22402,300,3
17673,6710,300,3
3362,23673,300,3
5085,20880,300,3
5895,18614,300,3
7528,18663,300,3
10816,31966,300,3
12496,28264,300,3
1270,22998,300,3
19491,8048,300,3
4298,21258,300,3
19495,8052,300,3
2810,20232,300,3
2814,20235,300,3
9954,28368,300,3
4444,31241,300,2
2188,20120,300,3
11842,29823,300,3
6513,27859,300,3
6520,27873,300,3
6605,32294,300,3
7727,18457,300,3
9429,3428,300,3
